,GroundTruth,Prediction
751,at that hour there was no one in the fair ground except perhaps some reeling drunkard making staggering shadows in dark corners,at that hour there was no one in the fair ground except perhaps some reeling drunkered making staggering shadows and dark corners
752,unknown people had worked upon his face he on the other hand had worked on his mind and behind this well executed mask he had placed all that he could of thought,un known people had worked upon his face he on the other hand had worked on his mind and behind tis well executed maskey ad placed all that he could have thought
753,she would take the envelope and know that she had triumphed,she would take out te lope and know that she had triunced
754,she had some slight gift of observation and that sense so rich in every woman intuition,she had come bit gift of observation and that vent so rich in every woman intuition
755,he would have some arrangement of this thing,he would have some arrangement of the sang
756,how can he whose sphere lies above the stars stoop every moment to earth,how and he who sperelies above the stars stoop every moment to earth
757,some are wonderfully wrought pretty little homes for birdikins,some are wonderusly wrought prettyd letle home fuberdicans
758,as for his friends the future must prove his gratitude to them,as for his friends the feture must prove his gratitude to them
759,bed time children,te time children
760,i regret that reviewers have in some cases been inclined to treat the chapters on machines as an attempt to reduce mister darwin's theory to an absurdity,i regret the review ares have in some case es benningclined to treat the chapters of machines as an attempt to reduce mister darwands theorye to an abserdity
761,the country was highly cultivated every ledge being planted with chestnuts walnuts and apple trees from which the apples were now gathering,the potry was highly cultivated every ledge o betan plented would jast tat  walnat the nappl trees from which he apples were now gathering
762,i happen to have mac connell's box for tonight or there'd be no chance of our getting places,i happend to have ma caled box wor tonie for dhed be no chante on argutting places
763,hilda's face quivered but she whispered yes i think it must have been,to this face quivered but she whispered yes i thinck i must have been
764,i don't know what i ought to say but i don't believe you'd be happy truly i don't aren't you trying to frighten me,ad don't know what i ought to say but i don't believe you'd be happy truly i don't ared you tryin to frightend met
765,as gladden rode by us a courier rode up and told him something,as glann rod by a acorier wot up and told him something
766,a thousand plans were made a thousand adventures pictured and the mother would smile and laugh and plan with them,a shousand plans were maide a southand adventurs pictured and the mother wat smile and laugh and plan with tom
767,to ride over salt water upon the back of a little horse seemed to me absurd,to ride over solt water upon the back of a little horse seemed t me absurd
768,very likely i may find there some manuscripts from the hand of saknussemm,very like me at my find there so manustrips from the hand of sub nesim
769,even in america ever'body bows low to our president an the blueskins are so fraid o their boolooroo that they tremble whenever they go near him,ev in america ever body bowes load our cres ten an a blue skins or so fright o their booloroo thut they trample whenever they go near im
770,the mistress had returned and the young lady was with her and hurried at once to her favourite garden,the misterss had returned and the young lady was with her and hurried once to her favorite garden
771,return to your provinces and may your private virtues repair the mischief and scandal of your meeting,return to your provinces and that youre prid it fortues repair the michef and scandl of your meeting
772,the first bambeday or religious retreat marked an epoch in the life of the youth which may be compared to that of confirmation or conversion in christian experience,the first banday or religus be treat murkneed boc in the life the youth which may be compared to that of conformation or conversion and acrishian experience
773,many of the indians believed that one may be born more than once and there were some who claimed to have full knowledge of a former incarnation,many amenins bleeded than one may be born more than once anderwer shum oplained to hep fall knowlede of a former incornation
774,the sharp smell of spirits went through the room,the sharp smell of spirits went through the rom
775,saint moling survived him three years and saint adamnan so intimately connected with his reign ten years,seemolling survived him three years and seen a dambnan so intimately connepted with his rain ten years
776,she has a knack of getting people to do what she wishes and to give her what she wants which is a little short of miraculous,she has a nack of getting people to do what she wishes and to give her what she wants which is a little short of mraulos
777,the whole thing was a trifle odd,te vulthing was a tripalode
778,but her husband felt heavy at heart and thought it were better to share the last crust with the children,but her husband o heavy athearts and thought it were better to sheer the last crust with the children
779,if we decide to show mercy to this poor beggar it is not for you to oppose it,if we decide a shom arcy to this poor begar is not for you to oppose it
780,that night the enemy slipped away leaving hundreds and hundreds of his dead and wounded on the field,that night the unemy slipped away leaving hundrend as hundred than his dead and wound it on the fields
781,only a little food will be required,oly a little food will be required
782,it wasn't i who said that said the girl smiling but that's so anyhow and then she sighed,thet wasn't i h said that said the girl smiling othot so any ow and then she sine
783,he stood up suddenly do you mean it,he stod up suddenly do you mean it
784,i turn up the earth by way of pastime,i turne up the earth by way of pat time
785,dost thou rise against him who gives thee his bread,that's the rise against him who gives thee is bread
786,and he walked immediately out of the apartment by another door,and he walked immediately out of the apartment by another door
787,but as for this here child b,but as for this her child be
788,of course these are not the entire menus but of all the well prepared dishes these are their best,of course of these are ot the entire men ues but of all the well prehared dishes these are their best
789,garnish dish that dressing is made in with a little garlic,garnish dish that dressing is made en with a little garlic
790,very good your honour says troke,very gd your honers has troke
791,in the valley of the shadow of death he is with us,and the valley of the shadow of death he is wit u
792,he seems to me to be truly penitent for his offences a misguided but not a hypocritical man if my knowledge of human nature goes for anything i hope he is said north,he seems to me to be truly penetent for is affenses a misguided bu not a hep acritical man if my knowledge of huma nature goes for anything i hoe pet of said north
793,a wave of despair rolled out from irolg brion sensed it and knew the fifth point was his,a wait of tisbearebuld out from irolg beunsenst it and news of his point was his
794,where is that,a where is laps
795,place it over the fire keep constantly stirring to prevent its burning and when quite dry put in a small piece of butter,patet over the fire keep constantly stery to prevent its burning and went quite dry put in a small piece of butter
796,the lemon this fruit is a native of asia and is mentioned by virgil as an antidote to poison,the levmen this truit is a native of asia and is mentioned by virgil as an antedo to poison
797,glenarvan's voice firm till now faltered,ho in arbin' voice firm til now baltered
798,illustration buns,elustration bunds
799,we did the same with physicians whom we often sent half dressed to some nobleman who was enjoying excellent health,we ted the same with positions who we ouften seid half dressed  some noblemen who was enjoying excellent health
800,bill chandler the zoologist had been going deeper and deeper into the old sea bottom of syrtis,billchamler the zeologist have bent going deeper and deeper into the old seabottom of sertous
801,anyhow we want to help got a job for us,anyhow we want to help got a job for us
802,but at the urgent entreaty of the princess of khosala who loved bhunda chand vainly he gave her a lock of his long black hair as a token of remembrance,much at the urget an treaty of the princes of cosala wo loved bonde chont vaini he gave her a lock of his long black haire as entwicen of remembrance
803,finding that lisha showed little enthusiasm on the subject she tried to rouse him by patriotic appeals of various sorts,finding a lye a shet little enuseas among the subject she tried toroute him by patriatic appeals of various sorts
804,to her i wend along in whose much strength my weakness is made strong,to her i went along in who as much shrenk my weakness is mad strong
805,for ambrosch my mama come here,for anbrosh my anm unecome here
806,what bankrupts in the world we feel when death like some remorseless creditor seizes on all we fondly thought our own the twins,what bangraps in the world we feel when death like some remostless creditor ceases on all we fondly sought our own the twins
807,he tilted his head to look up,he tol at is hendad loo up
808,you won't be so fast to wake up hard working cowboys after that i reckon,you won't be so fast wake u har an count boy after tat i ricon
809,at the moment when he freed his left foot from the stirrup he threw his body sharply to the right reaching for the hat without taking the precaution to grasp the pommel,it the valo meny fre d is left boot fomusterup he throu eis body sharply to the right reaching from a hat without taken the ecaution to gres the pa
810,he gets a red face poring over them,he gets a red face poring over them
811,yes i had the time to think things out a little he added without emphasis,yes for had the sond think things at a little he edded without op pisus
812,mister verloc perceived with some surprise that he did not know really what to say to stevie,mister reluct perceived with some surprise that he did not no really what to say a steeby
813,the two stray kittens gradually make themselves at home,the two straike it en vadgely make themselve at hume
814,they stand unmoved in their solitary greatness well assured that they are seen of all the world without any effort to show themselves off and that no one will attempt to drive them from that position,they sent unmoved in their somopery greates wella her ta there sene of all the world without any effot show themselves off and that no one will attempt to drive them from that position
815,good by dear randal,good bie dear randl
816,he put down the empty glass taking no notice of his brother's question,he put down the empty glass taking no notice of his borther's question
817,the old man's eyes shot fire and unconsciously one foot slipped to the floor,the old man's eyes h shach fire and dunconsciounly once went liped to the loere
818,yes mister slater the assistant manager who was in the lobby at the time says that ten minutes at least must have elapsed,yes misters slatert the asustent minatureo who was  lov ant the time says that him minutes at lesent must have belapsed
819,do they still insist that miss challoner was the only person in the room with them at this time,did they still insist that miss chill ener was the only person in the room wiuth them at this time
820,so low he fell that all appliances for his salvation were already short save showing him the people of perdition,so lo eout that allthe piances for his dalbation were already short save showing him the people an predition
821,oh you rave sir exclaimed villefort in vain endeavoring to escape the net in which he was taken i rave,oh you raved sir exclamed filel efort in vain inddulmoring to escape the nut in which he was taken adrray
822,the nettle and the dock said joseph,the net  on the dark said joseph
823,he did not say the last as a boast but merely as an assurance to the liveryman who he saw was anxious on his account,i  not say the last es of oast bu merely as an assurance to the livery man who hes aw was anxious on his account
824,one evening ursus was in the side scene which was the kitchen door of the green box seeing master nicless standing by him showed him this man in the crowd and asked him,one evening earses was in teside seen which was the kitchen door of the green box seeing master nick lases sdanding by him showed him this men in tho crowd and asked him
825,what was this nothing,what was this nothing
826,he saw a busy saturday ushered out the sabbath in and nothing done,he fought a busy's atterday eshered out with habath en and nothing done
827,these vast buildings what were they,the se vast buildings what were they
828,his first impulse was to write but four words in reply go to the devil,his first impulse was srigt te fourwards in reply go to the dentil
829,if they have cast off the vulgar herd they have not cast off hypatia,e to have cast off te vulgar heard they have not cast off a pathie
830,she began to show them how to weave the bits of things together into nests as they should be made,she began to show them how to weaf the bits things together in tonests as they should be made
831,in the present unsettled though hopeful state of affairs ferdinand would not go home,in the present unsettled though hoeful state of affairs ferdinand would not go home
832,the emperor's daughter,he upper i's daught er
833,i am still fairly well satisfied with those parts of erewhon that were repeatedly rewritten but from those that had only a single writing i would gladly cut out some forty or fifty pages if i could,i have still fairly while satisfied with those part of e eroie that were repeatedly rewritten but from those that had only seble writing i would grily cut out some fortyor fifty pages if i could
834,in fact one of them was plainly very much out of health and coughed violently from time to time in spite of manifest efforts to suppress it,in fact one of them was plainly very much out o peals and cocked viraly from time is time and fight of manif int effort sits of recid
835,hugh's written a delightful part for her and she's quite inexpressible,he was writen delightful part for her and she's quite inexpressible
836,always but it's worse now,always but its worse no
837,i think i have felt that you were coming,i think i hav felt tat you were commong
838,that's right my brave first tennessee give em hail columbia,tut's right my brave firtanasy de hale columbia
839,while the attack was successful in a way its main purpose failed,while the attack was successfblin away its main purpos fail
840,i should have a violent attack of the cramp if i were not to have some sort of exercise,i should have a violent attack of the cramp if i were not to have someswor ofvexasise
841,thanks to the heat of these residences grass grows on the roof which grass is carefully cut for hay,thanks to they he if these reshidencto this grass grows in the roof which grass as carefully cofver hay
842,but surely that is all wrong said tourmaline gravely,but surely that is all wrong said tormiing greatly
843,your cousin the wild convolvulus whom i left in the fields this morning does no such thing i assure you,youre cousin the wiled convolveyous whom my left in the fel this morning doest no such thing night ashoryol
844,which oppressed the metropolitans of europe and asia invaded the provinces of antioch and alexandria and measured their diocese by the limits of the empire,which oppressed them matter polesons of europe and asia inveeded the provinces o anty op an outxlandera aund mettured their disis by the limits of the empbire
845,in this type of prayer there was no beseeching of favor or help,in this taph of prayer there was no te sinching of favour ore help
846,reincarnation and the converse of spirits,the incurnation an the convers of spiribs
847,antonia's father uncovered one of his long bony legs and rubbed it rhythmically,ansene or's father ancovered one it is long bonielegs and robtic mithnicle
848,throughout this century the power of the church was constantly on the increase and is visible in many important changes,throughout the century the power of the church was constantly on the increase and is visible in many important changes
849,i was persuaded that somebody besides that cousin got a profit out of mary ann's engagement ring but i handed over the amount,i was persuaded that someboy beside as that cousin got aprafet ot o marians and gagement ring but i hand it over the amount
850,there was a rush of retreating feet an expostulating voice then darkness again and silence,there was a rush of retreading feet and exposulating voice than darknas again and silence
851,and she got up and put her head into the oven,and she got u and put her head into the oven
852,she did not stir and he knew that the sleeping powder had thoroughly done its work,she did not stir and she n that the sleeping powder had thoroughly dots work
853,when morning came the firing opened and for all that day the battle raged fiercely at the left and center left we getting the worst of it too,when morning caine the firyng nopen and for all that day the battle reaged fiercely at the left and sent a leghed we in a worst of it to
854,it is lined with emerald algae and mosses and shaded with alder willow and thorn bushes which give it a fine setting,it is line with empple allgy and mopses and shaded with al ther willow and formned bushes which give it a fine setting
855,he had no time to think but he was aware that this was the most exciting adventure that had ever happened to him,he had no time to thing but he was awere that this was moose exciting advench of ad everhapened dan
856,he had been late he had offered no excuse no explanation,he had been late he had offered no excuse no explanation
857,it is like a bandage over one's eyes to come into it,it it like a bandage over one's eyes to come into it
858,they were all taken aback and not one of them dared to utter a word such deference did they pay him,they were all taken a back and not one of them tared utter a word such defferencte ded they pay him
859,dorriforth then laid the book out of his hand and by the time the servant had left the room thus began,dor a fort then laind the book out of his tand and by the time at servant had like the room that's began
860,as he went about his eyes were ever cast downwards and he walked with a quick shuffling gait and he suspected others feeling that he himself was suspected,as he went about his eyes were over cast downwards and he walked with a quick shaffling date and hes usfected others feeling that he himself was uspected
861,at the corner of market and eddy streets is the odeon down in a basement with decorations of most garish order,at the cornel o morket and edustries is the odio now enavasement with decorations of most garriage order
862,salad two cups of apples cut into small pieces one cup celery cut into small pieces one cup english walnuts,saled two cops of apples cut into small pieces one cup solery cut into small pices one cupt english womat
863,impertinent young beggar said burgess,impertnent young beggar said vurgise
864,twice he paused on the way to the sitting room and twice was he driven on by a power stronger than his will,twice he paused on the way to the sitinger and twice was he driven on by a hours stroner than is will
865,it was as though he had reached the crisis of a disease which had been for days gathering force,it was as though he had reached the pices of a disease which had been ford days gathering force
866,there could be little art in this last and final round of fencing,ther could betle little arted this last and final round of fancings
867,i begged ruggedo long ago to send him away but he would not do so,i beg  ligedo larng at goad as sen him away budy would thot do so
868,fried bread crumbs,fried bread crumbs
869,illustration basil,illustration pasel
870,they had one night in which to prepare for death,they had one night in which to propare for death
871,seventeen eighteen,seven te an eighteen
872,i rubbed it with all my strength but he told me in a sort of indistinct whisper that the numbness was spreading all along the left side and that he was dying,i rubbed it with all my strength but he told me in a sort of indistinct whissper that the nubness was spreading all long the less side and that he was dying
873,gloria standish who had dropped in for lunch was on the mezzanine fairly screaming into a radiophone extension dozen and a half of them,er goyastandish when dropped in from lunch was on the meazanine fairly screaming into aradie phoen extension doesnt an a haf of them
874,the young inventor had just noticed his friend lying pinned beneath a heavy beam nearby,the young and ventor had just noticed his friend lying pin beneath a heav e beam near by
875,the man shrugged his broad shoulders and turned back into the arabesque chamber,the mans shrugged his broad shoulders and turned back into the ara best chammer
876,it is terrible and yet glorious,it ois terrible in yet glorious
877,a word should be said here of the title of dante's autobiography,a word should be said here of the tile of tantes out of baagraphy
878,but you see a body never knows what traits poverty might bring out in em,lay se a voudy never knose whet trates povety might bring out in e
879,oh jem don't give way so i cannot bear to see you,oh jim don't give waso i cannot bear to see you
880,don't move around lie perfectly still warned the guide are you hurt,dont mero like pefetly ill woran guide are you hurt
881,we had better start the drive this morning,we had better shar te dr  this morning
882,as a result instead of stopping when he reached the hat the boy kept on going,as result instead of sething when he reached i hat the oy kep on going
883,michaelis the ticket of leave apostle was speaking in an even voice a voice that wheezed as if deadened and oppressed by the layer of fat on his chest,my calipes the tickatively a postl were speakin in an even voice a voice that weesed as o deaand and oppressed by the layr fat on this chest
884,comrade ossipon's face twitched with exasperation,come ad aosicans face twitched with exaspration
885,i would call it cannibalistic that's what it is,ow clut anebolistic that's what it is
886,i'll have to check some more says tom,a'll have te ceckts morc as tom
887,chapter sixteen why the national vanity of the americans is more restless and captious than that of the english,tet the sixteen why the netional velity of americans is more restness and catches and af the english
888,but you ought to have known that we are only half an hour behind you at sydenham in the matter of news,but you ought to have known that we are only half an hour behind you at siten hem in the matter of news
889,i'm afraid he said,i am afraid he said
890,there was no doubting them in this instance,there wees no doubt the invaminc with simctem
891,i inquired of george with my eyes still on this furtive watcher,y innquired of george with my eyes vdele on thisfurtdos wacurnd
892,george nodded,george not it
893,therefore my answer is with greater care that he may hear me who is weeping yonder so that the sin and dole be of one measure,therefore nat answer is with great ar care that he may year me whose weeping onder so that the sen and dolby of one measur
894,what do you mean sir,what do you mean sir
895,earth was gone and heaven was all,birth was gond and heaven was all
896,there were never before such times in old kentucky,there were never before such times an old kontaty
897,it might have been ordered for the green box,it might have been orded for the green box
898,the effect of his appearance had been surprising,the effect of his appearance had been surprising
899,then he called harry the boy of all work around the place,then ye ogt harry the boy of all work around the place
900,she asked minnie for ink and paper which were upon the mantel in the dining room and when the latter had gone to bed at ten got out drouet's card and wrote him,she asked many for inconpaper wash were upon the mantl in the bining room and when the latter had gone to bed at ten got out trouh is carded wrote him
901,he would have to pay her the money which she would now regularly demand or there would be trouble it did not matter what he did,he would have to pay her the money which she would now reglarly demand or there would be trouble it did not matter what he did
902,ay she answered half bitterly and would that we could live without food and imitate perfectly the immortal gods,aye she answered to haf bitally and wold that we cauld lid without food and imitaked perfectly the ammortal gods
903,and the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy,and the poor silly things routtled op their feathers and looked miserable as only a lite burt him what when it is unhappi
904,four and twenty hours ago and he deemed himself the most miserable and forlorn of human beings and now all the blessings of the world seemed showered at his feet,for and twenty hours ago and he deamed himself the most miserable and ford lorn of human beans and now all the wes in tot the worl teemed showerd as is feet
905,the wandering singer,the wanter in singer
906,i also wrote about this time the substance of what ultimately became the musical banks and the trial of a man for being in a consumption,i also rode about this time the substance of wha ultimiliby came the musical banks and the trial of the man for being in a consemption
907,the design was different but the thing was clearly the same,it disi was difren bat the thing was greatly the same
908,you want me to say it she whispered,you ant meta sad she whispered
909,when did you come bartley and how did it happen you haven't spoken a word,whan dis you come barly and how dis it happen you havn't spoken o word
910,i'm going to do what you asked me to do when you were in london,aam going to do it you ask me to do when you weare in london
911,i do not pretend to tell of what command distinguished itself of heroes of blood and wounds of shrieks and groans of brilliant charges of cannon captured et cetera,u da ot pretend to tell at what command distinguished itself of heroes of blawn and wounds o shrieks and growns of brilliant charges canon captured at suter
